adidas,converse,nike
E:\Python\shoes\train\adidas\119.jpg,E:\Python\shoes\train\converse\119.jpg,E:\Python\shoes\train\nike\119.jpg
E:\Python\shoes\train\adidas\120.jpg,E:\Python\shoes\train\converse\120.jpg,E:\Python\shoes\train\nike\120.jpg
E:\Python\shoes\train\adidas\121.jpg,E:\Python\shoes\train\converse\121.jpg,E:\Python\shoes\train\nike\121.jpg
E:\Python\shoes\train\adidas\122.jpg,E:\Python\shoes\train\converse\122.jpg,E:\Python\shoes\train\nike\122.jpg
E:\Python\shoes\train\adidas\123.jpg,E:\Python\shoes\train\converse\123.jpg,E:\Python\shoes\train\nike\123.jpg
E:\Python\shoes\train\adidas\124.jpg,E:\Python\shoes\train\converse\124.jpg,E:\Python\shoes\train\nike\124.jpg
E:\Python\shoes\train\adidas\125.jpg,E:\Python\shoes\train\converse\125.jpg,E:\Python\shoes\train\nike\125.jpg
E:\Python\shoes\train\adidas\126.jpg,E:\Python\shoes\train\converse\126.jpg,E:\Python\shoes\train\nike\126.jpg
E:\Python\shoes\train\adidas\127.jpg,E:\Python\shoes\train\converse\127.jpg,E:\Python\shoes\train\nike\127.jpg
E:\Python\shoes\train\adidas\128.jpg,E:\Python\shoes\train\converse\128.jpg,E:\Python\shoes\train\nike\128.jpg
E:\Python\shoes\train\adidas\129.jpg,E:\Python\shoes\train\converse\129.jpg,E:\Python\shoes\train\nike\129.jpg
E:\Python\shoes\train\adidas\130.jpg,E:\Python\shoes\train\converse\130.jpg,E:\Python\shoes\train\nike\130.jpg
E:\Python\shoes\train\adidas\131.jpg,E:\Python\shoes\train\converse\131.jpg,E:\Python\shoes\train\nike\131.jpg
E:\Python\shoes\train\adidas\132.jpg,E:\Python\shoes\train\converse\132.jpg,E:\Python\shoes\train\nike\132.jpg
E:\Python\shoes\train\adidas\133.jpg,E:\Python\shoes\train\converse\133.jpg,E:\Python\shoes\train\nike\133.jpg
E:\Python\shoes\train\adidas\134.jpg,E:\Python\shoes\train\converse\134.jpg,E:\Python\shoes\train\nike\134.jpg
E:\Python\shoes\train\adidas\135.jpg,E:\Python\shoes\train\converse\135.jpg,E:\Python\shoes\train\nike\135.jpg
E:\Python\shoes\train\adidas\136.jpg,E:\Python\shoes\train\converse\136.jpg,E:\Python\shoes\train\nike\136.jpg
E:\Python\shoes\train\adidas\137.jpg,E:\Python\shoes\train\converse\137.jpg,E:\Python\shoes\train\nike\137.jpg
E:\Python\shoes\train\adidas\138.jpg,E:\Python\shoes\train\converse\138.jpg,E:\Python\shoes\train\nike\138.jpg
E:\Python\shoes\train\adidas\139.jpg,E:\Python\shoes\train\converse\139.jpg,E:\Python\shoes\train\nike\139.jpg
E:\Python\shoes\train\adidas\140.jpg,E:\Python\shoes\train\converse\140.jpg,E:\Python\shoes\train\nike\140.jpg
E:\Python\shoes\train\adidas\141.jpg,E:\Python\shoes\train\converse\141.jpg,E:\Python\shoes\train\nike\141.jpg
E:\Python\shoes\train\adidas\142.jpg,E:\Python\shoes\train\converse\142.jpg,E:\Python\shoes\train\nike\142.jpg
E:\Python\shoes\train\adidas\143.jpg,E:\Python\shoes\train\converse\143.jpg,E:\Python\shoes\train\nike\143.jpg
E:\Python\shoes\train\adidas\144.jpg,E:\Python\shoes\train\converse\144.jpg,E:\Python\shoes\train\nike\144.jpg
E:\Python\shoes\train\adidas\145.jpg,E:\Python\shoes\train\converse\145.jpg,E:\Python\shoes\train\nike\145.jpg
E:\Python\shoes\train\adidas\146.jpg,E:\Python\shoes\train\converse\146.jpg,E:\Python\shoes\train\nike\146.jpg
E:\Python\shoes\train\adidas\147.jpg,E:\Python\shoes\train\converse\147.jpg,E:\Python\shoes\train\nike\147.jpg
E:\Python\shoes\train\adidas\148.jpg,E:\Python\shoes\train\converse\148.jpg,E:\Python\shoes\train\nike\148.jpg
E:\Python\shoes\train\adidas\149.jpg,E:\Python\shoes\train\converse\149.jpg,E:\Python\shoes\train\nike\149.jpg
E:\Python\shoes\train\adidas\150.jpg,E:\Python\shoes\train\converse\150.jpg,E:\Python\shoes\train\nike\150.jpg
E:\Python\shoes\train\adidas\151.jpg,E:\Python\shoes\train\converse\151.jpg,E:\Python\shoes\train\nike\151.jpg
E:\Python\shoes\train\adidas\152.jpg,E:\Python\shoes\train\converse\152.jpg,E:\Python\shoes\train\nike\152.jpg
E:\Python\shoes\train\adidas\153.jpg,E:\Python\shoes\train\converse\153.jpg,E:\Python\shoes\train\nike\153.jpg
E:\Python\shoes\train\adidas\154.jpg,E:\Python\shoes\train\converse\154.jpg,E:\Python\shoes\train\nike\154.jpg
E:\Python\shoes\train\adidas\155.jpg,E:\Python\shoes\train\converse\155.jpg,E:\Python\shoes\train\nike\155.jpg
E:\Python\shoes\train\adidas\156.jpg,E:\Python\shoes\train\converse\156.jpg,E:\Python\shoes\train\nike\156.jpg
E:\Python\shoes\train\adidas\157.jpg,E:\Python\shoes\train\converse\157.jpg,E:\Python\shoes\train\nike\157.jpg
E:\Python\shoes\train\adidas\158.jpg,E:\Python\shoes\train\converse\158.jpg,E:\Python\shoes\train\nike\158.jpg
E:\Python\shoes\train\adidas\159.jpg,E:\Python\shoes\train\converse\159.jpg,E:\Python\shoes\train\nike\159.jpg
E:\Python\shoes\train\adidas\160.jpg,E:\Python\shoes\train\converse\160.jpg,E:\Python\shoes\train\nike\160.jpg
E:\Python\shoes\train\adidas\161.jpg,E:\Python\shoes\train\converse\161.jpg,E:\Python\shoes\train\nike\161.jpg
E:\Python\shoes\train\adidas\162.jpg,E:\Python\shoes\train\converse\162.jpg,E:\Python\shoes\train\nike\162.jpg
E:\Python\shoes\train\adidas\163.jpg,E:\Python\shoes\train\converse\163.jpg,E:\Python\shoes\train\nike\163.jpg
E:\Python\shoes\train\adidas\164.jpg,E:\Python\shoes\train\converse\164.jpg,E:\Python\shoes\train\nike\164.jpg
E:\Python\shoes\train\adidas\165.jpg,E:\Python\shoes\train\converse\165.jpg,E:\Python\shoes\train\nike\165.jpg
E:\Python\shoes\train\adidas\166.jpg,E:\Python\shoes\train\converse\166.jpg,E:\Python\shoes\train\nike\166.jpg
E:\Python\shoes\train\adidas\167.jpg,E:\Python\shoes\train\converse\167.jpg,E:\Python\shoes\train\nike\167.jpg
E:\Python\shoes\train\adidas\168.jpg,E:\Python\shoes\train\converse\168.jpg,E:\Python\shoes\train\nike\168.jpg
E:\Python\shoes\train\adidas\169.jpg,E:\Python\shoes\train\converse\169.jpg,E:\Python\shoes\train\nike\169.jpg
E:\Python\shoes\train\adidas\170.jpg,E:\Python\shoes\train\converse\170.jpg,E:\Python\shoes\train\nike\170.jpg
E:\Python\shoes\train\adidas\171.jpg,E:\Python\shoes\train\converse\171.jpg,E:\Python\shoes\train\nike\171.jpg
E:\Python\shoes\train\adidas\172.jpg,E:\Python\shoes\train\converse\172.jpg,E:\Python\shoes\train\nike\172.jpg
E:\Python\shoes\train\adidas\173.jpg,E:\Python\shoes\train\converse\173.jpg,E:\Python\shoes\train\nike\173.jpg
E:\Python\shoes\train\adidas\174.jpg,E:\Python\shoes\train\converse\174.jpg,E:\Python\shoes\train\nike\174.jpg
E:\Python\shoes\train\adidas\175.jpg,E:\Python\shoes\train\converse\175.jpg,E:\Python\shoes\train\nike\175.jpg
E:\Python\shoes\train\adidas\176.jpg,E:\Python\shoes\train\converse\176.jpg,E:\Python\shoes\train\nike\176.jpg
E:\Python\shoes\train\adidas\177.jpg,E:\Python\shoes\train\converse\177.jpg,E:\Python\shoes\train\nike\177.jpg
E:\Python\shoes\train\adidas\178.jpg,E:\Python\shoes\train\converse\178.jpg,E:\Python\shoes\train\nike\178.jpg
E:\Python\shoes\train\adidas\179.jpg,E:\Python\shoes\train\converse\179.jpg,E:\Python\shoes\train\nike\179.jpg
E:\Python\shoes\train\adidas\180.jpg,E:\Python\shoes\train\converse\180.jpg,E:\Python\shoes\train\nike\180.jpg
E:\Python\shoes\train\adidas\181.jpg,E:\Python\shoes\train\converse\181.jpg,E:\Python\shoes\train\nike\181.jpg
E:\Python\shoes\train\adidas\182.jpg,E:\Python\shoes\train\converse\182.jpg,E:\Python\shoes\train\nike\182.jpg
E:\Python\shoes\train\adidas\183.jpg,E:\Python\shoes\train\converse\183.jpg,E:\Python\shoes\train\nike\183.jpg
E:\Python\shoes\train\adidas\184.jpg,E:\Python\shoes\train\converse\184.jpg,E:\Python\shoes\train\nike\184.jpg
E:\Python\shoes\train\adidas\185.jpg,E:\Python\shoes\train\converse\185.jpg,E:\Python\shoes\train\nike\185.jpg
E:\Python\shoes\train\adidas\186.jpg,E:\Python\shoes\train\converse\186.jpg,E:\Python\shoes\train\nike\186.jpg
E:\Python\shoes\train\adidas\187.jpg,E:\Python\shoes\train\converse\187.jpg,E:\Python\shoes\train\nike\187.jpg
E:\Python\shoes\train\adidas\188.jpg,E:\Python\shoes\train\converse\188.jpg,E:\Python\shoes\train\nike\188.jpg
E:\Python\shoes\train\adidas\189.jpg,E:\Python\shoes\train\converse\189.jpg,E:\Python\shoes\train\nike\189.jpg
E:\Python\shoes\train\adidas\190.jpg,E:\Python\shoes\train\converse\190.jpg,E:\Python\shoes\train\nike\190.jpg
E:\Python\shoes\train\adidas\191.jpg,E:\Python\shoes\train\converse\191.jpg,E:\Python\shoes\train\nike\191.jpg
E:\Python\shoes\train\adidas\192.jpg,E:\Python\shoes\train\converse\192.jpg,E:\Python\shoes\train\nike\192.jpg
E:\Python\shoes\train\adidas\193.jpg,E:\Python\shoes\train\converse\193.jpg,E:\Python\shoes\train\nike\193.jpg
E:\Python\shoes\train\adidas\194.jpg,E:\Python\shoes\train\converse\194.jpg,E:\Python\shoes\train\nike\194.jpg
E:\Python\shoes\train\adidas\195.jpg,E:\Python\shoes\train\converse\195.jpg,E:\Python\shoes\train\nike\195.jpg
E:\Python\shoes\train\adidas\196.jpg,E:\Python\shoes\train\converse\196.jpg,E:\Python\shoes\train\nike\196.jpg
E:\Python\shoes\train\adidas\197.jpg,E:\Python\shoes\train\converse\197.jpg,E:\Python\shoes\train\nike\197.jpg
E:\Python\shoes\train\adidas\198.jpg,E:\Python\shoes\train\converse\198.jpg,E:\Python\shoes\train\nike\198.jpg
E:\Python\shoes\train\adidas\199.jpg,E:\Python\shoes\train\converse\199.jpg,E:\Python\shoes\train\nike\199.jpg
E:\Python\shoes\train\adidas\200.jpg,E:\Python\shoes\train\converse\200.jpg,E:\Python\shoes\train\nike\200.jpg
E:\Python\shoes\train\adidas\201.jpg,E:\Python\shoes\train\converse\201.jpg,E:\Python\shoes\train\nike\201.jpg
E:\Python\shoes\train\adidas\202.jpg,E:\Python\shoes\train\converse\202.jpg,E:\Python\shoes\train\nike\202.jpg
E:\Python\shoes\train\adidas\203.jpg,E:\Python\shoes\train\converse\203.jpg,E:\Python\shoes\train\nike\203.jpg
E:\Python\shoes\train\adidas\204.jpg,E:\Python\shoes\train\converse\204.jpg,E:\Python\shoes\train\nike\204.jpg
E:\Python\shoes\train\adidas\205.jpg,E:\Python\shoes\train\converse\205.jpg,E:\Python\shoes\train\nike\205.jpg
E:\Python\shoes\train\adidas\206.jpg,E:\Python\shoes\train\converse\206.jpg,E:\Python\shoes\train\nike\206.jpg
E:\Python\shoes\train\adidas\207.jpg,E:\Python\shoes\train\converse\207.jpg,E:\Python\shoes\train\nike\207.jpg
E:\Python\shoes\train\adidas\208.jpg,E:\Python\shoes\train\converse\208.jpg,E:\Python\shoes\train\nike\208.jpg
E:\Python\shoes\train\adidas\209.jpg,E:\Python\shoes\train\converse\209.jpg,E:\Python\shoes\train\nike\209.jpg
E:\Python\shoes\train\adidas\210.jpg,E:\Python\shoes\train\converse\210.jpg,E:\Python\shoes\train\nike\210.jpg
E:\Python\shoes\train\adidas\211.jpg,E:\Python\shoes\train\converse\211.jpg,E:\Python\shoes\train\nike\211.jpg
E:\Python\shoes\train\adidas\212.jpg,E:\Python\shoes\train\converse\212.jpg,E:\Python\shoes\train\nike\212.jpg
E:\Python\shoes\train\adidas\213.jpg,E:\Python\shoes\train\converse\213.jpg,E:\Python\shoes\train\nike\213.jpg
E:\Python\shoes\train\adidas\214.jpg,E:\Python\shoes\train\converse\214.jpg,E:\Python\shoes\train\nike\214.jpg
E:\Python\shoes\train\adidas\215.jpg,E:\Python\shoes\train\converse\215.jpg,E:\Python\shoes\train\nike\215.jpg
E:\Python\shoes\train\adidas\216.jpg,E:\Python\shoes\train\converse\216.jpg,E:\Python\shoes\train\nike\216.jpg
E:\Python\shoes\train\adidas\217.jpg,E:\Python\shoes\train\converse\217.jpg,E:\Python\shoes\train\nike\217.jpg
E:\Python\shoes\train\adidas\218.jpg,E:\Python\shoes\train\converse\218.jpg,E:\Python\shoes\train\nike\218.jpg
E:\Python\shoes\train\adidas\219.jpg,E:\Python\shoes\train\converse\219.jpg,E:\Python\shoes\train\nike\219.jpg
E:\Python\shoes\train\adidas\220.jpg,E:\Python\shoes\train\converse\220.jpg,E:\Python\shoes\train\nike\220.jpg
E:\Python\shoes\train\adidas\221.jpg,E:\Python\shoes\train\converse\221.jpg,E:\Python\shoes\train\nike\221.jpg
E:\Python\shoes\train\adidas\222.jpg,E:\Python\shoes\train\converse\222.jpg,E:\Python\shoes\train\nike\222.jpg
E:\Python\shoes\train\adidas\223.jpg,E:\Python\shoes\train\converse\223.jpg,E:\Python\shoes\train\nike\223.jpg
E:\Python\shoes\train\adidas\224.jpg,E:\Python\shoes\train\converse\224.jpg,E:\Python\shoes\train\nike\224.jpg
E:\Python\shoes\train\adidas\225.jpg,E:\Python\shoes\train\converse\225.jpg,E:\Python\shoes\train\nike\225.jpg
E:\Python\shoes\train\adidas\226.jpg,E:\Python\shoes\train\converse\226.jpg,E:\Python\shoes\train\nike\226.jpg
E:\Python\shoes\train\adidas\227.jpg,E:\Python\shoes\train\converse\227.jpg,E:\Python\shoes\train\nike\227.jpg
E:\Python\shoes\train\adidas\228.jpg,E:\Python\shoes\train\converse\228.jpg,E:\Python\shoes\train\nike\228.jpg
E:\Python\shoes\train\adidas\229.jpg,E:\Python\shoes\train\converse\229.jpg,E:\Python\shoes\train\nike\229.jpg
E:\Python\shoes\train\adidas\230.jpg,E:\Python\shoes\train\converse\230.jpg,E:\Python\shoes\train\nike\230.jpg
E:\Python\shoes\train\adidas\231.jpg,E:\Python\shoes\train\converse\231.jpg,E:\Python\shoes\train\nike\231.jpg
E:\Python\shoes\train\adidas\232.jpg,E:\Python\shoes\train\converse\232.jpg,E:\Python\shoes\train\nike\232.jpg
E:\Python\shoes\train\adidas\233.jpg,E:\Python\shoes\train\converse\233.jpg,E:\Python\shoes\train\nike\233.jpg
E:\Python\shoes\train\adidas\234.jpg,E:\Python\shoes\train\converse\234.jpg,E:\Python\shoes\train\nike\234.jpg
E:\Python\shoes\train\adidas\235.jpg,E:\Python\shoes\train\converse\235.jpg,E:\Python\shoes\train\nike\235.jpg
E:\Python\shoes\train\adidas\236.jpg,E:\Python\shoes\train\converse\236.jpg,E:\Python\shoes\train\nike\236.jpg
E:\Python\shoes\train\adidas\237.jpg,E:\Python\shoes\train\converse\237.jpg,E:\Python\shoes\train\nike\237.jpg
E:\Python\shoes\train\adidas\238.jpg,E:\Python\shoes\train\converse\238.jpg,E:\Python\shoes\train\nike\238.jpg
E:\Python\shoes\train\adidas\239.jpg,E:\Python\shoes\train\converse\239.jpg,E:\Python\shoes\train\nike\239.jpg
E:\Python\shoes\train\adidas\240.jpg,E:\Python\shoes\train\converse\240.jpg,E:\Python\shoes\train\nike\240.jpg
E:\Python\shoes\train\adidas\241.jpg,E:\Python\shoes\train\converse\241.jpg,E:\Python\shoes\train\nike\241.jpg
E:\Python\shoes\train\adidas\242.jpg,E:\Python\shoes\train\converse\242.jpg,E:\Python\shoes\train\nike\242.jpg
E:\Python\shoes\train\adidas\243.jpg,E:\Python\shoes\train\converse\243.jpg,E:\Python\shoes\train\nike\243.jpg
E:\Python\shoes\train\adidas\244.jpg,E:\Python\shoes\train\converse\244.jpg,E:\Python\shoes\train\nike\244.jpg
E:\Python\shoes\train\adidas\245.jpg,E:\Python\shoes\train\converse\245.jpg,E:\Python\shoes\train\nike\245.jpg
E:\Python\shoes\train\adidas\246.jpg,E:\Python\shoes\train\converse\246.jpg,E:\Python\shoes\train\nike\246.jpg
E:\Python\shoes\train\adidas\247.jpg,E:\Python\shoes\train\converse\247.jpg,E:\Python\shoes\train\nike\247.jpg
E:\Python\shoes\train\adidas\248.jpg,E:\Python\shoes\train\converse\248.jpg,E:\Python\shoes\train\nike\248.jpg
E:\Python\shoes\train\adidas\249.jpg,E:\Python\shoes\train\converse\249.jpg,E:\Python\shoes\train\nike\249.jpg
E:\Python\shoes\train\adidas\250.jpg,E:\Python\shoes\train\converse\250.jpg,E:\Python\shoes\train\nike\250.jpg
E:\Python\shoes\train\adidas\251.jpg,E:\Python\shoes\train\converse\251.jpg,E:\Python\shoes\train\nike\251.jpg
E:\Python\shoes\train\adidas\252.jpg,E:\Python\shoes\train\converse\252.jpg,E:\Python\shoes\train\nike\252.jpg
E:\Python\shoes\train\adidas\253.jpg,E:\Python\shoes\train\converse\253.jpg,E:\Python\shoes\train\nike\253.jpg
E:\Python\shoes\train\adidas\254.jpg,E:\Python\shoes\train\converse\254.jpg,E:\Python\shoes\train\nike\254.jpg
E:\Python\shoes\train\adidas\255.jpg,E:\Python\shoes\train\converse\255.jpg,E:\Python\shoes\train\nike\255.jpg
E:\Python\shoes\train\adidas\256.jpg,E:\Python\shoes\train\converse\256.jpg,E:\Python\shoes\train\nike\256.jpg
E:\Python\shoes\train\adidas\257.jpg,E:\Python\shoes\train\converse\257.jpg,E:\Python\shoes\train\nike\257.jpg
E:\Python\shoes\train\adidas\258.jpg,E:\Python\shoes\train\converse\258.jpg,E:\Python\shoes\train\nike\258.jpg
E:\Python\shoes\train\adidas\259.jpg,E:\Python\shoes\train\converse\259.jpg,E:\Python\shoes\train\nike\259.jpg
E:\Python\shoes\train\adidas\260.jpg,E:\Python\shoes\train\converse\260.jpg,E:\Python\shoes\train\nike\260.jpg
E:\Python\shoes\train\adidas\261.jpg,E:\Python\shoes\train\converse\261.jpg,E:\Python\shoes\train\nike\261.jpg
E:\Python\shoes\train\adidas\262.jpg,E:\Python\shoes\train\converse\262.jpg,E:\Python\shoes\train\nike\262.jpg
E:\Python\shoes\train\adidas\263.jpg,E:\Python\shoes\train\converse\263.jpg,E:\Python\shoes\train\nike\263.jpg
E:\Python\shoes\train\adidas\264.jpg,E:\Python\shoes\train\converse\264.jpg,E:\Python\shoes\train\nike\264.jpg
E:\Python\shoes\train\adidas\265.jpg,E:\Python\shoes\train\converse\265.jpg,E:\Python\shoes\train\nike\265.jpg
E:\Python\shoes\train\adidas\266.jpg,E:\Python\shoes\train\converse\266.jpg,E:\Python\shoes\train\nike\266.jpg
E:\Python\shoes\train\adidas\267.jpg,E:\Python\shoes\train\converse\267.jpg,E:\Python\shoes\train\nike\267.jpg
E:\Python\shoes\train\adidas\268.jpg,E:\Python\shoes\train\converse\268.jpg,E:\Python\shoes\train\nike\268.jpg
E:\Python\shoes\train\adidas\269.jpg,E:\Python\shoes\train\converse\269.jpg,E:\Python\shoes\train\nike\269.jpg
E:\Python\shoes\train\adidas\270.jpg,E:\Python\shoes\train\converse\270.jpg,E:\Python\shoes\train\nike\270.jpg
E:\Python\shoes\train\adidas\271.jpg,E:\Python\shoes\train\converse\271.jpg,E:\Python\shoes\train\nike\271.jpg
E:\Python\shoes\train\adidas\272.jpg,E:\Python\shoes\train\converse\272.jpg,E:\Python\shoes\train\nike\272.jpg
E:\Python\shoes\train\adidas\273.jpg,E:\Python\shoes\train\converse\273.jpg,E:\Python\shoes\train\nike\273.jpg
E:\Python\shoes\train\adidas\274.jpg,E:\Python\shoes\train\converse\274.jpg,E:\Python\shoes\train\nike\274.jpg
E:\Python\shoes\train\adidas\38.jpg,E:\Python\shoes\train\converse\38.jpg,E:\Python\shoes\train\nike\38.jpg
E:\Python\shoes\train\adidas\39.jpg,E:\Python\shoes\train\converse\39.jpg,E:\Python\shoes\train\nike\39.jpg
E:\Python\shoes\train\adidas\40.jpg,E:\Python\shoes\train\converse\40.jpg,E:\Python\shoes\train\nike\40.jpg
E:\Python\shoes\train\adidas\41.jpg,E:\Python\shoes\train\converse\41.jpg,E:\Python\shoes\train\nike\41.jpg
E:\Python\shoes\train\adidas\42.jpg,E:\Python\shoes\train\converse\42.jpg,E:\Python\shoes\train\nike\42.jpg
E:\Python\shoes\train\adidas\43.jpg,E:\Python\shoes\train\converse\43.jpg,E:\Python\shoes\train\nike\43.jpg
E:\Python\shoes\train\adidas\44.jpg,E:\Python\shoes\train\converse\44.jpg,E:\Python\shoes\train\nike\44.jpg
E:\Python\shoes\train\adidas\45.jpg,E:\Python\shoes\train\converse\45.jpg,E:\Python\shoes\train\nike\45.jpg
E:\Python\shoes\train\adidas\46.jpg,E:\Python\shoes\train\converse\46.jpg,E:\Python\shoes\train\nike\46.jpg
E:\Python\shoes\train\adidas\47.jpg,E:\Python\shoes\train\converse\47.jpg,E:\Python\shoes\train\nike\47.jpg
E:\Python\shoes\train\adidas\48.jpg,E:\Python\shoes\train\converse\48.jpg,E:\Python\shoes\train\nike\48.jpg
E:\Python\shoes\train\adidas\49.jpg,E:\Python\shoes\train\converse\49.jpg,E:\Python\shoes\train\nike\49.jpg
E:\Python\shoes\train\adidas\50.jpg,E:\Python\shoes\train\converse\50.jpg,E:\Python\shoes\train\nike\50.jpg
E:\Python\shoes\train\adidas\51.jpg,E:\Python\shoes\train\converse\51.jpg,E:\Python\shoes\train\nike\51.jpg
E:\Python\shoes\train\adidas\52.jpg,E:\Python\shoes\train\converse\52.jpg,E:\Python\shoes\train\nike\52.jpg
E:\Python\shoes\train\adidas\53.jpg,E:\Python\shoes\train\converse\53.jpg,E:\Python\shoes\train\nike\53.jpg
E:\Python\shoes\train\adidas\54.jpg,E:\Python\shoes\train\converse\54.jpg,E:\Python\shoes\train\nike\54.jpg
E:\Python\shoes\train\adidas\55.jpg,E:\Python\shoes\train\converse\55.jpg,E:\Python\shoes\train\nike\55.jpg
E:\Python\shoes\train\adidas\56.jpg,E:\Python\shoes\train\converse\56.jpg,E:\Python\shoes\train\nike\56.jpg
E:\Python\shoes\train\adidas\57.jpg,E:\Python\shoes\train\converse\57.jpg,E:\Python\shoes\train\nike\57.jpg
E:\Python\shoes\train\adidas\58.jpg,E:\Python\shoes\train\converse\58.jpg,E:\Python\shoes\train\nike\58.jpg
E:\Python\shoes\train\adidas\59.jpg,E:\Python\shoes\train\converse\59.jpg,E:\Python\shoes\train\nike\59.jpg
E:\Python\shoes\train\adidas\60.jpg,E:\Python\shoes\train\converse\60.jpg,E:\Python\shoes\train\nike\60.jpg
E:\Python\shoes\train\adidas\61.jpg,E:\Python\shoes\train\converse\61.jpg,E:\Python\shoes\train\nike\61.jpg
E:\Python\shoes\train\adidas\62.jpg,E:\Python\shoes\train\converse\62.jpg,E:\Python\shoes\train\nike\62.jpg
E:\Python\shoes\train\adidas\63.jpg,E:\Python\shoes\train\converse\63.jpg,E:\Python\shoes\train\nike\63.jpg
E:\Python\shoes\train\adidas\64.jpg,E:\Python\shoes\train\converse\64.jpg,E:\Python\shoes\train\nike\64.jpg
E:\Python\shoes\train\adidas\65.jpg,E:\Python\shoes\train\converse\65.jpg,E:\Python\shoes\train\nike\65.jpg
E:\Python\shoes\train\adidas\66.jpg,E:\Python\shoes\train\converse\66.jpg,E:\Python\shoes\train\nike\66.jpg
E:\Python\shoes\train\adidas\67.jpg,E:\Python\shoes\train\converse\67.jpg,E:\Python\shoes\train\nike\67.jpg
E:\Python\shoes\train\adidas\68.jpg,E:\Python\shoes\train\converse\68.jpg,E:\Python\shoes\train\nike\68.jpg
E:\Python\shoes\train\adidas\69.jpg,E:\Python\shoes\train\converse\69.jpg,E:\Python\shoes\train\nike\69.jpg
E:\Python\shoes\train\adidas\70.jpg,E:\Python\shoes\train\converse\70.jpg,E:\Python\shoes\train\nike\70.jpg
E:\Python\shoes\train\adidas\71.jpg,E:\Python\shoes\train\converse\71.jpg,E:\Python\shoes\train\nike\71.jpg
E:\Python\shoes\train\adidas\72.jpg,E:\Python\shoes\train\converse\72.jpg,E:\Python\shoes\train\nike\72.jpg
E:\Python\shoes\train\adidas\73.jpg,E:\Python\shoes\train\converse\73.jpg,E:\Python\shoes\train\nike\73.jpg
E:\Python\shoes\train\adidas\74.jpg,E:\Python\shoes\train\converse\74.jpg,E:\Python\shoes\train\nike\74.jpg
E:\Python\shoes\train\adidas\75.jpg,E:\Python\shoes\train\converse\75.jpg,E:\Python\shoes\train\nike\75.jpg
E:\Python\shoes\train\adidas\76.jpg,E:\Python\shoes\train\converse\76.jpg,E:\Python\shoes\train\nike\76.jpg
E:\Python\shoes\train\adidas\77.jpg,E:\Python\shoes\train\converse\77.jpg,E:\Python\shoes\train\nike\77.jpg
E:\Python\shoes\train\adidas\78.jpg,E:\Python\shoes\train\converse\78.jpg,E:\Python\shoes\train\nike\78.jpg
E:\Python\shoes\train\adidas\79.jpg,E:\Python\shoes\train\converse\79.jpg,E:\Python\shoes\train\nike\79.jpg
E:\Python\shoes\train\adidas\80.jpg,E:\Python\shoes\train\converse\80.jpg,E:\Python\shoes\train\nike\80.jpg
